"duration_sec","start_time","end_time","start_station_id","start_station_name","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_latitude","end_station_longitude","bike_id","user_type","member_birth_year","member_gender"
"80110","2017-12-31 16:57:39.6540","2018-01-01 15:12:50.2450","74","Laguna St at Hayes St","37.776434819204745","-122.42624402046204","43","San Francisco Public Library (Grove St at Hyde St)","37.7787677","-122.4159292","96","Customer","1987","Male"
"78800","2017-12-31 15:56:34.8420","2018-01-01 13:49:55.6170","284","Yerba Buena Center for the Arts (Howard St at 3rd St)","37.78487208436062","-122.40087568759917","96","Dolores St at 15th St","37.7662102","-122.4266136","88","Customer","1965","Female"
"45768","2017-12-31 22:45:48.4110","2018-01-01 11:28:36.8830","245","Downtown Berkeley BART","37.8703477","-122.2677637","245","Downtown Berkeley BART","37.8703477","-122.2677637","1094","Customer","",""
"62172","2017-12-31 17:31:10.6360","2018-01-01 10:47:23.5310","60","8th St at Ringold St","37.77452040113685","-122.4094493687153","5","Powell St BART Station (Market St at 5th St)","37.783899357084934","-122.40844488143921","2831","Customer","",""
"43603","2017-12-31 14:23:14.0010","2018-01-01 02:29:57.5710","239","Bancroft Way at Telegraph Ave","37.8688126","-122.258764","247","Fulton St at Bancroft Way","37.8677892","-122.2658964","3167","Subscriber","1997","Female"
"9226","2017-12-31 22:51:00.9180","2018-01-01 01:24:47.1660","30","San Francisco Caltrain (Townsend St at 4th St)","37.776598","-122.395282","30","San Francisco Caltrain (Townsend St at 4th St)","37.776598","-122.395282","1487","Customer","",""
"4507","2017-12-31 23:49:28.4220","2018-01-01 01:04:35.6190","259","Addison St at Fourth St","37.866249","-122.2993708","259","Addison St at Fourth St","37.866249","-122.2993708","3539","Customer","1991","Female"
"4334","2017-12-31 23:46:37.1960","2018-01-01 00:58:51.2110","284","Yerba Buena Center for the Arts (Howard St at 3rd St)","37.78487208436062","-122.40087568759917","284","Yerba Buena Center for the Arts (Howard St at 3rd St)","37.78487208436062","-122.40087568759917","1503","Customer","",""
"4150","2017-12-31 23:37:07.5480","2018-01-01 00:46:18.3080","20","Mechanics Monument Plaza (Market St at Bush St)","37.7913","-122.399051","20","Mechanics Monument Plaza (Market St at Bush St)","37.7913","-122.399051","3125","Customer","",""
"4238","2017-12-31 23:35:38.1450","2018-01-01 00:46:17.0530","20","Mechanics Monument Plaza (Market St at Bush St)","37.7913","-122.399051","20","Mechanics Monument Plaza (Market St at Bush St)","37.7913","-122.399051","2543","Customer","",""
